时间,左转速(RPM),左水温(℃),左油压(MPa),左齿轮箱油压(MPa),左齿轮箱油温(℃),左推进累计时间(H),左推进电池电压(V),右转速(RPM),右水温(℃),右油压(MPa),右齿轮箱油压(MPa),右齿轮箱油温(℃),右推进累计时间(H),右推进电池电压(V),发电机转速(RPM),主配电压(V),发电机电压(V),发电机频率(Hz),发电机滑油压力(MPA),发电机滑油温度(℃),发电机冷却水温(℃),发电机电池电压(V),发电机负荷(%),发电机累计时间(H),发电机进气温度(℃),发电机瞬时油耗(L),发电机累计油耗(L),船舶横倾(度),船舶纵倾(度),船舶吃水(M),甲板温度(℃),机舱温度(℃),左艉轴温度(℃),右艉轴温度(℃),油舱液位(M),剩余燃油体积(M3),剩余燃油重量(T),速度(节),GPS1经度(mm),GPS1纬度(mm)
00:00:13,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.30,25.70,25.30,25.30,0.28,2.14,1.79,0.19,112.41,29.74
00:00:17,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.20,25.70,25.30,25.30,0.28,2.14,1.79,0.10,112.41,29.74
00:00:22,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.30,25.70,25.30,25.30,0.28,2.14,1.79,0.55,112.41,29.74
00:00:27,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.20,25.70,25.30,25.30,0.28,2.14,1.79,0.07,112.41,29.74
00:00:32,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.20,25.70,25.20,25.20,0.28,2.13,1.79,0.02,112.41,29.74
00:00:37,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.20,25.70,25.20,25.20,0.28,2.14,1.79,0.17,112.41,29.74
00:00:42,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.20,25.70,25.20,25.20,0.28,2.14,1.79,0.01,112.41,29.74
00:00:47,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.30,25.70,25.30,25.30,0.28,2.14,1.79,0.05,112.41,29.74
00:00:52,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.98,1.27,28.30,25.70,25.40,25.40,0.28,2.14,1.79,0.07,112.41,29.74
00:00:57,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.20,25.70,25.30,25.30,0.28,2.14,1.79,0.00,112.41,29.74
00:01:02,0.00,0.00,0.00,0.00,0.00,5341.00,0.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5650.00,0.00,0.00,1751.00,-0.75,-0.75,1.27,28.30,25.70,25.20,25.20,0.28,2.14,1.79,0.01,112.41,29.74
